Name,Address,Compiler Version,Current Balance,Total Deposited Eth,Total Withdrawn Eth,# Transactions
xSTAKEfinance,0xb6aa337c9005fbf3a10edde47ddde3541adb79cb,v0.5.17+commit.d19bba13,0.0,0.0,0.0,1011
MainToken,0xc666aF44582961a950a9db738F4B0d4aFdB482dF,v0.4.24+commit.e67f0147,0.0,0.0,0.0,5
HBC,0x28da24ed20906cde186d8b4f83412c3ae37a6269,v0.4.24+commit.e67f0147,0.0,0.0,0.0,1
parconetwork,0xc4bb9344e81f76c2d92d625c19be2107c892e1a7,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,12
CNYQToken,0xc541b907478d5cd334c0cbfcb9603b6dac6e9ee3,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,2
WLL,0x5F705b4f5bcbD3A3536B20420cC581cbBE280bFF,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,3
StableCreditProtocol,0xf0bea7077e2c65ef8ba089edce949781af6277a6,v0.5.17+commit.d19bba13,0.0,0.0,0.0,11
QTBK,0x9403d608515f7346EC44B998984d7741Fd0D9bd4,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,63
YFARMER,0x7B0F66fA5cf5cc28280c1e7051af881E06579362,v0.5.17+commit.d19bba13,0.0,0.0,0.0,87
YFU,0xa279dab6ec190ee4efce7da72896eb58ad533262,v0.5.17+commit.d19bba13,0.0,0.0,0.0,140
YFTRUST,0x2321eb093fabab1a355a235db5efa20b0a21cdad,v0.5.17+commit.d19bba13,0.0,0.0,0.0,33
YFWORLD,0x0f6e71454c39126baa89ed8dc36e3d4bc5d06f3d,v0.5.17+commit.d19bba13,0.0,0.0,0.0,48
Comp,0xbc16da9df0a22f01a16bc0620a27e7d6d6488550,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,819
Bubble,0x114ad141671c869bd922d97fab34818c5dcc94d0,v0.5.16+commit.9c3226ce,13.45,31.0,17.55,9
StableCreditProtocol,0x20d5bfba0f5c726aad09956fd7398acdac048858,v0.5.17+commit.d19bba13,0.0,0.0,0.0,11
StableCreditProtocol,0xff807e1d8ec5a89292842521788c670c98496920,v0.5.17+commit.d19bba13,0.0,0.0,0.0,3
Bitcoin,0x5b39e5e0e75d0d272cce063008d44995e1204e0d,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,5
YearnFinanceValueToken,0x6f113418850a6ac90bb83084379d06b25a5b8909,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,1
ERC20,0xc9109587a84522508e432daf4e1c5d64893dc182,v0.5.11+commit.c082d0b4,0.0,0.0,0.0,2
SilkyFinance,0x5bbdeee720977e46230b111ec2b08557300bd485,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,105
YearnFinancedToken,0x5705c09817bc4589bad96f31fbe198c7b1d7b7b6,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,3
DeflationToken,0x422b727f3d39f655fa71cf9510c4ae5f7c13f5c9,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,52
TheHungerGame,0xb96fd64298bb8a9a8aa0866f81093a8b7f68a79c,v0.5.17+commit.d19bba13,0.0,0.0,0.0,220
TimeFarmer,0x63a6da104c6a08dfeb50d13a7488f67bc98cc41f,v0.5.13+commit.5b0b510c,0.0,0.0,0.0,139
MainToken,0x1d37986f252d0e349522ea6c3b98cb935495e63e,v0.4.24+commit.e67f0147,0.0,0.0,0.0,2494
YFAMToken,0x3bedb00cc64655a3ed60d21b8dfcc8463ad62bcf,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,2
Newtonium,0x8872b3311dc8a5784ad85175b8fb2e898d94e46c,v0.5.17+commit.d19bba13,0.0,0.0,0.0,4
StableCreditProtocol,0xb5a137bb2ab7e317756c399fd94ca215cece81d6,v0.5.17+commit.d19bba13,0.0,0.0,0.0,10
ETM,0x6175cc288707246e8a90bafdf6d37d9f3fc8f8f2,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,2
ChainflixToken,0x31ddecb25c862b8411d3ba54bfd65b4e663922fd,v0.4.24+commit.e67f0147,0.0,0.0,0.0,2
WPE,0xd075e95423c5c4ba1e122cae0f4cdfa19b82881b,v0.5.17+commit.d19bba13,0.0,0.0,0.0,74
RedFingerToken,0x7675749184be843f82fa8cfec76a6071c480b0e2,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,2
ERC20,0x5e8a0b1629dd519ddda805d1a36dc404fc3efdd7,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,1
ERC20,0x143f7a7e642eccaa7be8bd604639fd13eef6bebc,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,1
chadcoin,0x48BcB97E63f91c8e064307E9ff35E86e4CAb6F98,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,2
MCNAERC20,0xd65cf78ce3ec5f44f0c7cde662a47391483e4411,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,1
GoatFinanceToken,0x31c08eb8e7caa67a3e1d1b053190edcc77c7c39d,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,5
AppleFinanceToken,0xb4a679cfab115f2fcc6bb087a20e81b5dcd27c45,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,1
Defietherfund,0xd67b92809ecdc088e0706a092ce2b06f3871fe17,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,8
UFragments,0xd78afdd162b11b2334877df6869f865b784b1527,v0.4.24+commit.e67f0147,0.0,0.0,0.0,152
YearnToiletPaperERC20,0xd57f293c3982f9ea89fe4da76c9c74fe78a45d41,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,16
CreamToken,0x449be56720ed4c3ac9310d3af4429a960b74a9a0,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,5
PEARSWAP,0xe68301308da0f1678a0caa2eeb549c4f4c35b905,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,12
MelonSwap,0xaf06f584023fe057d5c9308caf8b801a681d78e1,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,16
DynamicSwap,0xaaae75ee045a52cea965c81bb707dc48a897ed7b,v0.5.17+commit.d19bba13,0.0,0.0,0.0,11
Dorayaki_ERC20,0x59848d60c34dcd2686d7f7918bd240fc1890208e,v0.5.10+commit.5a6ea5b1,0.1,57.466336233999996,57.366336234,685
NymToken,0x739a39f4808ceefed77d97fda8eb163547f42c84,v0.5.17+commit.d19bba13,0.0,0.0,0.0,56
TRAINToken,0x6d2887940eF2dF25fbAA0a028baCc391818Bea78,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,12
KYFToken,0xD85e2772912213e0c584d80B2694c79D6a09E39A,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,3
YSCFinance,0x4b88caa16837477770be263e038c15505415644e,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,12
DeflationToken,0x6b41459ced638645092a1c6d50726b428a66348a,v0.5.0+commit.1d4f565a,0.0,0.0,0.0,6
YFIPOOL,0x442dc4dbb08e8a2c4dc8c28cc2c98369aecccd26,v0.5.17+commit.d19bba13,0.0,0.0,0.0,27
SWProtocol,0x709ca71ebf34a3635bc7086d90f50f711b91c782,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,2
GreyTest,0x1e87a37a67e7059caa9340a79214b90c0661ac0d,v0.5.7+commit.6da8b019,0.0,0.0,0.0,10
GreyHoldingsTest,0x2b9dde565ddf9b736c9051286b216f66a8219e36,v0.5.7+commit.6da8b019,0.0,0.0,0.0,5
BEANSfarm,0xeb4c063f68bf4c4e807f89ae6e1f5f153a0e9006,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,5
Bethero,0xfd14618ead6b47050f79eb01372b3aa7949b90ce,v0.5.0+commit.1d4f565a,0.0,22.87,22.87,24
BEANSFARM,0xd6181c7552e6dfd424b5b2b9dbd953c2d785384c,v0.5.1+commit.c8a2cb62,0.0,0.0,0.0,6
EstatesToken,0x994274e34e51264f6b5aa9b465cbdc0e183e1a0e,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,1
_yLandToken,0xbef681d74fcc0ea5fc910d042f8be96614ce9487,v0.4.26+commit.4563c3fc,0.0,0.0,0.0,11
YFICASH,0x03e8f56ad0d759bcfff960863388bfdb2efd1579,v0.5.17+commit.d19bba13,0.0,0.0,0.0,15
StakeHavens,0xcfca83c564c3feffa23f6cccd829bfb4be445a95,v0.4.25+commit.59dbf8f1,0.0,21.76,21.76,28
GreyHoldings,0xeedac64009067f8543d149ce1bea869b5312fb7f,v0.5.7+commit.6da8b019,0.0,0.0,0.0,127
SnippFinance,0x056527c9F79E65A63394B14A5d98e06a7306F8DF,v0.5.16+commit.9c3226ce,0.0,0.0,0.0,419
